name,type,RD,Cache,sum_RTT,queries,total_time,cache_hits,cache_misses,num_answers
mwzip.com,1,0,1,0.48892641067504883,3,5.496525049209595,1,2,2
gusbi.com,1,0,0,0.5995512008666992,3,0.6007020473480225,,,1
gusbi.com,1,1,0,0.7175641059875488,3,0.7190005779266357,,,1
gusbi.com,1,0,1,0.25795698165893555,1,0.870593786239624,2,0,1
simternet.com,1,0,0,0.5812175273895264,3,0.582869291305542,,,2
simternet.com,1,1,0,0.7420790195465088,3,0.7433066368103027,,,2
simternet.com,1,0,1,0.17561960220336914,1,0.6066091060638428,2,0,2
khsm.ru,1,0,0,1.2664990425109863,6,1.269162893295288,,,1
khsm.ru,1,1,0,1.2325994968414307,6,1.2348144054412842,,,1
khsm.ru,1,0,1,0.20882582664489746,1,1.398650884628296,2,0,1
livelinks.com,1,0,0,0.8187015056610107,3,0.8198137283325195,,,4
livelinks.com,1,1,0,0.5750203132629395,3,0.5769443511962891,,,4
livelinks.com,1,0,1,0.20834064483642578,1,0.5244612693786621,2,0,4
jantv.in,1,0,0,1.06581711769104,6,1.0682835578918457,,,2
jantv.in,1,1,0,1.0741007328033447,6,1.076568603515625,,,2
jantv.in,1,0,1,0.4405951499938965,3,0.44173693656921387,1,3,2
hornil.com,1,0,0,0.8438632488250732,3,0.844841480255127,,,1
hornil.com,1,1,0,0.8599541187286377,3,0.8609659671783447,,,1
hornil.com,1,0,1,0.7319865226745605,3,5.738410949707031,1,2,1
7dfps.com,1,0,0,0.5247228145599365,3,0.5257759094238281,,,2
7dfps.com,1,1,0,0.6456480026245117,3,0.6475484371185303,,,2
7dfps.com,1,0,1,0.5517213344573975,3,5.558613061904907,1,2,2
luckypuppygames.com,1,0,0,0.6279520988464355,3,0.6291468143463135,,,6
luckypuppygames.com,1,1,0,0.6415321826934814,3,0.6427991390228271,,,6
luckypuppygames.com,1,0,1,0.26828956604003906,1,1.007927417755127,2,0,6
b-matrix.com,1,0,0,0.8338069915771484,3,0.8351397514343262,,,1
